text,label
"Qadarullah pak suami negatif NS-1 positif covid, plus ku jg sama positif covid. Suami cm bergejala 3 hari di awal (demam 40 derajat) skrg pilek ma batuk2. Ku baru ada gejala kemarin, demam 38 drjt, pusing ma linu2 badan",Positif
"tapii pas kena covid kmrin keulang lg. apalgi di hari 1-5. sesek nafas, buat ngomg aj susah bgt dah kek di ujung maut karna selain sesak nafas jg demam, pusing, batuk. dah cukup y covid ajg u dah pernah nyiksa w.",Positif
"positif covid tuh ga enak banget
pernah waktu mandi tiba"" gua kerasa sesek nafas padahal kamar mandi gua tuh lumayan luas, ada fentilasinya juga",Positif
Maaf ya baru balas dm teman2. Kemarin2 sibuk ujian dan sekarang positif covid 🙏🏻,Positif
"Awal oktober gue malah sakit tenggorokan udh gtu flu dan ga enak badan
Seharian cuma istirahat.
Semoga ga covid-19",Positif
"Baru bangun tidur siang badan berasa ga enak
Kirain kena covid
Taunya ga punya duit",Positif
"Gue lg ngerasain gejala hari ke 7 waktu gue +. Smua gejala gue ada catetannya detail banget. Lidah gue mati rasa tp gue laperan sepanjang hari. 
Wkt itu hari ke 7 gue makan nasi goreng ga ada rasanya sama sekali tp gue laper berat krn udh 6 hari ga bisa masuk makanan.",Positif
"gejala covid tp blm pcr, msh tmn",Positif
"🤍 haloo, boleh minta doanya supaya tenggorokan sender cepet sembuh & bisa nelen kaya biasa lagi? terima kasiih orang orang baik 😊",Positif
"Dinyatakan positif Covid tanpa gejala berat, tetap bisa tenang dan sabar.",Positif
"Lagi batuk pilek pertama kali selama pandemi, cukup was-was. Untungnya tidak anosmia & badan masih bisa aktivitas, jadilah masak soto ayam ini. 1,5 jam gini doang pegel jg kaki 🤣 https://t.co/lb4adbuZqW",Positif
Enggak nii. Tiba2 ngerasain gejala aja terus kemarin test eehh positif🥲,Positif
"Day 1 (+) Flu, Batuk, Demam, tapi ga anosmia dan ga sesak nafas. Everything is good (harusnya)",Positif
"Me, definitely (+) Omnicorn.Batuk ❌Pilek ❌Anosmia ❌Demam ringan ✔️Tenggorokan sakit ✔️Badan pegel ✔️Akunya gpp, yang sedih tuh anak 3th lebih kesakitan 😥",Positif
"seminggu radang, mulai 2hari batuk makin intens, skrg udah mulai anosmia 😭 apa²an iniiii 😭",Positif
"aku sekeluarga sepertinya lagi positif cvd-19 kak. bener bener serumah 5 orang. sebenernya belom tau pasti karena belom tes antigen karena ya mahal juga kalo tes :"") tapi yang jelas, kita semua udah ngerasain gejalanya. demam, batuk, pilek dan yang paling jelas anosmia",Positif
"2md day of 2022, tepar, down, meriang, mencret sikit, semoga bukan kena si omi.Soalnya gaada batuk, gaada anosmia juga",Positif
"Waduh anosmia lagi gue
Batuk pilek sesak napas 
Moga moga gak kenapa kenapa 🙏",Positif
"Pusing dikit doang si kek bagin leher ama di alis ke samping telinga gitu tapi lebih  ke badan pegel pegel, anosmia, batuk, ama engap",Positif
Gue kmrn pas kena covid udah mau KO anjir saking kena semua gejala kyk demam pusing pilek batuk anosmia sesek nafas dll semua gue rasakan :D tp ak sembuh kok alhamdulillah jd yoongi pun jg pasti baik2 sajaaah,Positif
"Aku alhamdulillah cuma demam, batuk pilek, sama anosmia, soalnya kena pas udah vksn dosis 2",Positif
Gw positif covid😭😭😭,Positif
"Jam 12 siang gw udh mulai panas, badan gw sakiit semua, kepala gw mulai sakit, gw lgsg feeling “wah covid gw anjing”😭😭😭🥲 tapi gue bawa boci alias bobo ciangg",Positif
Eh gw positif covid eheheheheheheh😭😭😭😭😭,Positif
Hari pertama 2022 aku positif covid. Doakan anak isteri aku selamat. Ameen,Positif
positif covid 20 hari bisa sembuh ga s? anj cuk lemes gue sat🥲,Positif
"Hari ini swab aku hasilnya positif, rencana mau pcr semoga hasilnya negatif, jd aku akan rest dulu, aku ga bisa hype ateez dulu, bantu doanya yah moots, kalian semangat vote sama streamingnya❣️",Positif
"Doakan kami sekeluarga positif Covid19. Seisi rumah & sesiapa yg jumpa bapa sy positif dan bergejala teruk. Baru hari ni sy rs kurang demam. Sy yakin vaksin 2 dose byk membantu. Sy sakit kuat, tp deria rs semua masih ok. Bapa sy sdg dlm wad sdg diberikan oksigen. Doakan utk dia😭",Positif
"Pernah ngerasain bergejala, kyanya kalo dites hasilnya positif",Positif
"Kami bergejala ringan bisa jd krn memang kenanya Omicron yg katanya gejalanya ringan, bisa jadi krn perlindungan vaksin jd gak kena gejala parah. Kami semua sudah fully vaccinated.Dari kami ber-4 yg terkonfirmasi positif, yg pakai demam tinggi adlh yg blm sempat suntik booster.",Positif
panik banget g bisa nyium bau 😭,Positif
dan gue udah g bisa nyium bau jarak jauh,Positif
"Udh semingguan rasanya nafas kek agak berat gt, gak nyaman, kek antara sesek gak sesek. Bingung bgt duh apakah ini akibat bb naik apa efek post covid apa sakit maag aku udh naik level?:(",Positif
"Batu empedu sama covid. Kalau kumat muntah terus, badan menggigil, terus hilang tenaga dan itu minimal semingguan. Kalau covid sesek banget buat nafas susah",Positif
"buset efek samping covid ga maen maen njir rasa sesek nafas nya kerasa smpe skrg, sakit bgtt",Positif
"Covid day 7:

Semalem kebangun karena sesek nafas. Checkin saturasi masih OK. Pagi ini kebangun msh anosmia & batuk batuk kecil. Tenggorokan msh ada sakit",Positif
"Penciuman ilang (lagi). Tarikan nafas beberapa kali terasa berat, batuk juga masih muncul. Indra pengecap juga hmmmm masih hambar. Suhu badan normal, saturasi stabil.",Positif
No fever whatsoever. Mulai bisa cium bau parfum yg nyegrak (SENENG BANGET 😭). Mulut mulai bisa ngerasain rasa manis sama asin meskipun dikiiiittt banget. Batuk muncul beberapa jam sekali doang. Saturasi stabil 98-99.,Positif
Demam & meriang hilang. Masih anosmia. Saturasi stabil di 99. Nafsu makan ga berubah. Cuma tidak ada rasa 😮‍💨😮‍💨,Positif
Yak ternyata positf covid(+) juga pada akhirnya 🙂🙂,Positif
"Lagi hamil dan covid itu rasanya.. Udah patah hati + badan sakit + nafas sesek. Dikasih nikmat calon anaknya tetap sehat, berat dll nya normal semua itu dah bersyukur luar biasa 🥺 Alhamdulillah. 😭🙏",Positif
"Ni covid agak berasa ya efeknya, jadi gampang cape sama gampang sesek nih nafas",Positif
[TF] udah 4harian badan ngrasa lemes ngantuk capek nafas juga agak engap gitu kaya sesek gitu. termasuk covid enggak ya): sharing dulu yuk sebelum aku mutusin buat swab,Positif
Anjir gak enak banget covid + men + sesek nafas beuhhh anjir sakitnya gak mikir,Positif
"Takut terpapar covid 19, dari semalem batuk kering, pas tadi pagi dada sesek, nafas agak berat gtu, terus kaki pada sakit. Hiks, semoga masuk angin aja ini :(",Positif
Ada yg pernah positif covid dan hidungnya serasa ditekan jd susah nafas? Sejak semalam kek gini jd sesek + pusing jg 😭😭😭,Positif
"Tenggorokan aing sakit, idung mampet, mata panas, keringet dingin, biarin aja besok wfo aing tular2in nih radang. Moga aja bukan covid",Positif
"ganti musim, bikin sakit tenggorokan, ga lucu aja kalo kena covid lagi :(",Positif
Tenggorokan sakit bgt rasanya kaya pertama kena covid 😭😭,Positif
"pala puyeng, idung pilek, badan panas, tenggorokan sakit, suara bindeng. NT covid",Positif
"ada yg kek gue ga si batuk pilek sakit tenggorokan, yaTuhan gue gamau covid lagi",Positif
"Tenggorokan sakit , Batuk pilek covid bukan ?",Positif
aing batuk sakit tenggorokan kehed lain covid😞,Positif
"tiba2 sakit tenggorokan sama suami. Terus suami bilang, “2 hari yang lalu montir yg benerin mobil gak pake masker”😭😭Ya Allah, semoga kami gak menjadi korban kezaliman orang lain. Semoga bukan covid😭",Positif
"skrg gue sakit tenggorokan, pusing, pilek, batuk2, bersin2. bikin overthinking aja pls, klo lo ngentengin covid dll gausah bikin ribet orang lain juga dongggg? 🙂🙂🙂 walau serumah udah pd vaksin2x..",Positif
"jujur w takut covid. diare, sakit tenggorokan, trs skrg meler ga berenti dan sakit kepala. anj",Positif
"Baca gejala covid varian baru omicron jd parno sendiri. Kebetulan bgt skrg lg sakit kepala, sakit tenggorokan, pilek, demam & sakit badan🙃",Positif
"curiga gue kena covid, udah flu tenggorokan serek mana sakit kepala padahal udah minum obat 2 biji",Positif
"Tenggorokan  sakit gara2 minum es pas cuaca panas. Trus was2 kena covid lagi, jadi ngendus minyak telon seharian 🙃",Positif
"Kalo udh sakit tenggorokan kayak gini, diotak gue masih aja kepikiran covid",Positif
"Sekarang tiap tenggorokan sakit langsung kepikiran, aduh ini takut covid gelombang 3-_-",Positif
gw ultah malah sakit tenggorokan help gw takut covid LAGI,Positif
